"filename", "language", "Python", "pip requirements", "Batch", "Markdown", "comment", "blank", "total"
"f:\Dropbox\dev\python_bo_go_ai\.context.md", "Markdown", 0, 0, 0, 141, 0, 32, 173
"f:\Dropbox\dev\python_bo_go_ai\README.md", "Markdown", 0, 0, 0, 62, 0, 23, 85
"f:\Dropbox\dev\python_bo_go_ai\config\settings.py", "Python", 11, 0, 0, 0, 3, 4, 18
"f:\Dropbox\dev\python_bo_go_ai\detect_device.py", "Python", 10, 0, 0, 0, 4, 4, 18
"f:\Dropbox\dev\python_bo_go_ai\main.py", "Python", 35, 0, 0, 0, 8, 11, 54
"f:\Dropbox\dev\python_bo_go_ai\my_prompt.md", "Markdown", 0, 0, 0, 25, 0, 9, 34
"f:\Dropbox\dev\python_bo_go_ai\rag_context\README.md", "Markdown", 0, 0, 0, 3, 0, 4, 7
"f:\Dropbox\dev\python_bo_go_ai\requirements.txt", "pip requirements", 0, 8, 0, 0, 3, 3, 14
"f:\Dropbox\dev\python_bo_go_ai\run_bo_go_ai.bat", "Batch", 0, 0, 3, 0, 0, 1, 4
"f:\Dropbox\dev\python_bo_go_ai\run_main.py", "Python", 504, 0, 0, 0, 75, 117, 696
"f:\Dropbox\dev\python_bo_go_ai\src\core\clipboard_manager.py", "Python", 38, 0, 0, 0, 2, 6, 46
"f:\Dropbox\dev\python_bo_go_ai\src\core\keyboard_handler.py", "Python", 45, 0, 0, 0, 1, 14, 60
"f:\Dropbox\dev\python_bo_go_ai\src\ui\tray_icon.py", "Python", 15, 0, 0, 0, 1, 5, 21
"f:\Dropbox\dev\python_bo_go_ai\src\utils\logger.py", "Python", 28, 0, 0, 0, 0, 4, 32
"f:\Dropbox\dev\python_bo_go_ai\src\utils\token_tracker.py", "Python", 13, 0, 0, 0, 3, 5, 21
"Total", "-", 699, 8, 3, 231, 100, 242, 1283
